city,longitude,latitude,count,scale
Lodz,19.46667,51.75,307,30
Lviv,24.031997,49.842,101,20
Lublin,22.56667,51.25,75,20
Warszawa,21.01178,52.22977,46,10
Kraków,19.93658,50.06143,31,10
Czestochowa,19.12409,50.79646,26,10
Poznan,16.92993,52.40692,11,7
Zamosc,23.25196,50.72314,11,7
Cieszyn,18.63213,49.75133,10,7
Bialystok,23.16433,53.13333,9,5
Przemysl,22.76728,49.78498,9,5
Bochnia,20.43028,49.96905,8,5
Drohobych,23.50561,49.34991,8,5
Krynki,23.772199,53.265278,8,5
PiotrkówTrybunalski,19.70321,51.40547,8,5
Tarnów,20.98698,50.01381,8,5
Bransk,22.83774,52.7444,7,4
Gródek,23.656673,53.096667,7,4
Sanok,22.2056,49.55573,7,4
Zloczew,18.60363,51.41719,7,4
Bielsko-Biala,19.04686,49.82245,6,4
Jaroslaw,22.67776,50.01623,6,4
Oswiecim,19.21037,50.03437,6,4
Otwock,21.26129,52.10577,6,4
UstrzykiDolne,22.59381,49.4304,6,4
Vilnius,25.2798,54.68916,6,4
Bedzin,19.12565,50.32607,5,4
Brzesko,20.60606,49.96911,5,4
Lubaczów,23.12339,50.157,5,4
Lutsk,25.34244,50.75932,5,4
Myslowice,19.16668,50.20745,5,4
NowySacz,20.69705,49.62177,5,4
BialaPodlaska,23.11652,52.03238,4,3
Bilgoraj,22.72204,50.54114,4,3
Chrzanów,19.40203,50.13546,4,3
DabrowaGórnicza,19.2374,50.31818,4,3
Kalisz,18.09102,51.76109,4,3
Lancut,22.22912,50.06871,4,3
Lapy,22.88422,52.9911,4,3
Lesko,22.33042,49.4701,4,3
Lomza,22.05935,53.17806,4,3
Rymanów,21.86811,49.57649,4,3
Sosnowiec,19.10385,50.28682,4,3
Wlodawa,23.55,51.55,4,3
Wronki,16.38044,52.71051,4,3
BaranówSandomierski,21.54204,50.49912,3,3
Blazowa,22.10037,49.88521,3,3
Debica,21.41141,50.05146,3,3
Dukla,21.69654,49.41691,3,3
GóraKalwaria,21.21537,51.97653,3,3
Halych,24.72578,49.12179,3,3
Hrubieszów,23.89251,50.80502,3,3
Inowroclaw,18.26387,52.79886,3,3
Józefów,19.50147,51.87599,3,3
Katowice,19.02754,50.25841,3,3
Knyszyn,22.91963,53.31406,3,3
Kolomyja,25.03649,48.53115,3,3
Konin,18.25121,52.22338,3,3
Kozienice,21.54779,51.58294,3,3
Krasnik,22.220835,50.921389,3,3
Krzeszowice,19.63223,50.14248,3,3
Leszno,16.57494,51.84034,3,3
Lezajsk,22.41932,50.26257,3,3
Lowicz,19.94525,52.10714,3,3
MakówMazowiecki,21.10053,52.86493,3,3
NowaSlupia,21.09049,50.86432,3,3
NowyTarg,20.03228,49.47783,3,3
PiaskiWielkopolskie,17.07293,51.88497,3,3
Pinsk,26.0951,52.1229,3,3
Radomsko,19.44477,51.06713,3,3
Rivne,26.22743,50.62308,3,3
Sambir,23.19752,49.5183,3,3
Sejny,23.34698,54.10802,3,3
SokolówMalopolski,22.11968,50.22909,3,3
Tarlów,21.7083,51.001,3,3
Ternopil,25.60556,49.55589,3,3
Tykocin,22.77457,53.20567,3,3
Wielen,16.173613,52.892222,3,3
Wieliczka,20.06473,49.98738,3,3
Wloclawek,19.0678,52.64817,3,3
Zychlin,19.62613,52.24404,3,3
AleksandrówLódzki,19.30384,51.81965,2,2
Andrychów,19.33834,49.85497,2,2
Annopol,21.85678,50.88551,2,2
Augustów,22.97979,53.84321,2,2
Baligród,22.28566,49.3309,2,2
Belchatów,19.35671,51.36883,2,2
BialaRawska,20.47259,51.80779,2,2
Bibrka,24.28874,49.64093,2,2
Biezun,19.88976,52.96107,2,2
Bircza,22.45108,49.69151,2,2
Bocki,23.04485,52.65155,2,2
Bodzentyn,20.95719,50.94115,2,2
Bojanowo,16.749444,51.707222,2,2
Borowa,21.3515,50.38548,2,2
Borysow,22.03824,51.51152,2,2
Brody,25.15027,50.08791,2,2
BrzescnadBugiem,23.68775,52.09755,2,2
Brzeziny,19.75144,51.80023,2,2
Buchach,25.38798,49.06254,2,2
Buk,16.5176,52.356667,2,2
Bukowsko,22.06329,49.48039,2,2
Busko-Zdrój,20.71884,50.47078,2,2
Bychawa,22.532779,51.015833,2,2
Bydgoszcz,18.00762,53.1235,2,2
Chelm,23.4716,51.14312,2,2
Chortkiv,25.79804,49.01709,2,2
Ciechanów,20.61996,52.88141,2,2
Ciepielów,21.54255,51.23917,2,2
Cieszanów,23.13163,50.24564,2,2
Czudec,21.84134,49.94487,2,2
Czyzew,22.31237,52.79768,2,2
DabrowaBialostocka,23.348612,53.653611,2,2
DabrowaTarnowska,20.98633,50.17462,2,2
Dubno,25.73432,50.41694,2,2
Dzialoszyce,20.35226,50.36534,2,2
GlogówMalopolski,21.96287,50.15122,2,2
Gniewo,18.8225,53.835556,2,2
Gniezno,17.58259,52.53481,2,2
Gorlice,21.16035,49.65563,2,2
GrabównadProsna,18.11929,51.50596,2,2
Grodno,23.8258,53.6884,2,2
GrodziskWielkopolski,16.36534,52.22762,2,2
Grójec,20.86757,51.86252,2,2
Grybów,20.94797,49.62439,2,2
IzbicaKujawska,18.7627,52.42073,2,2
Jarocin,17.50256,51.97266,2,2
Jedwabne,22.30353,53.28554,2,2
JózefówBilgorajski,23.05404,50.48119,2,2
Kepno,17.98908,51.2784,2,2
Kety,19.221944,49.883333,2,2
Khyriv,22.85236,49.53332,2,2
Kielce,20.62752,50.87033,2,2
Kleszczele,23.32539,52.57314,2,2
Kórnik,17.0917,52.2403,2,2
Korycin,23.09069,53.44513,2,2
